Warning: Null value is eliminated by an aggregate or other SET operation.
Preferred Vendor,Supplier SKU,Manufacturer SKU,AZ In Stock,TX In Stock,Your Cost,% Discount,MSRP,Supplier Description,Avg Lead Time,Next Available Date,Next Available Quantity
American Made Grill,AMG-CSR,AMG-CSR,.000000,.000000,250.7943000000000,43.000,439.990000,Cart Shelf - Right Side - fits CART-AMG,NULL,NULL,NULL
American Made Grill,AMG-GLOVES,AMG-GLOVES,5.000000,.000000,45.0300000000000,43.000,79.000000,AMG GLOVES,2,NULL,NULL
American Made Grill,AMG-ISLAND,BI-CA-F,.000000,.000000,3990.0000000000000,43.000,7000.000000,"AMG GRILL ISLAND W/FRIDGE & 36"" DRAWER",NULL,NULL,NULL
American Made Grill,AMG-KNOB,AMG-KNOB,3.000000,.000000,15.7947000000000,43.000,27.710000,CONTROL KNOB FOR AMG,2,NULL,NULL
American Made Grill,AMG-MV-LP,AMG-MV-LP,.000000,.000000,35.6763000000000,43.000,62.590000,AMG MAIN VALVE 7U LP,NULL,NULL,NULL
American Made Grill,AMG-MV-NG,AMG-MV-NG,.000000,.000000,35.6763000000000,43.000,62.590000,AMG MAIN VALVE 7U NG,NULL,NULL,NULL
American Made Grill,AMG-TOOL,AMG-TOOL,3.000000,.000000,62.1300000000000,43.000,109.000000,GRATE/FUEL TRAY TOOL AMG,2,NULL,NULL
American Made Grill,ATS36-B-LP,ATS36-B-LP,.000000,.000000,2163.1500000000000,43.000,3795.000000,"36"" Atlas - Liquid Propane with Briquette Trays",9,NULL,NULL
American Made Grill,ATS36-B-NG,ATS36-B-NG,3.000000,.000000,2163.1500000000000,43.000,3795.000000,"36"" Atlas - Natural Gas with Briquette Trays",2,NULL,NULL
American Made Grill,ATS36-LP,ATS36-LP,.000000,.000000,2163.1500000000000,43.000,3795.000000,"Atlas - 36"" - Liquid Propane",7,NULL,NULL
American Made Grill,ATS36-NG,ATS36-NG,.000000,.000000,2163.1500000000000,43.000,3795.000000,"Atlas - 36"" - Natural Gas",7,NULL,NULL
American Made Grill,ATSPB2-NG,ATSPB2-NG,.000000,.000000,1459.2000000000000,43.000,2560.000000,Atlas Power Burner - Natural Gas,14,NULL,NULL
American Made Grill,ATSSB2-LP,ATSSB2-LP,.000000,.000000,872.1000000000000,43.000,1530.000000,Atlas Double Side Burner Liquid Propane,NULL,NULL,NULL
American Made Grill,ATSSB2-NG,ATSSB2-NG,.000000,.000000,872.1000000000000,43.000,1530.000000,Atlas Double Side Burner  NG,4,NULL,NULL
Summerset,BASIN-SIZ32,BASIN-SIZ32,.000000,.000000,309.4600000000000,50.000,618.920000,"SIZ32"" GRILL BASIN",NULL,NULL,NULL
Summerset,BBE-2,BBE-2,1.000000,.000000,9.0000000000000,50.000,18.000000,Back Burner Electrode/Ignitor Sizzler (New part number replaced BBE-SIZ),2,NULL,NULL
Summerset,BBE-COV-SIZ,BBE-COV-SIZ,1.000000,.000000,10.9200000000000,50.000,21.840000,Back Burner Electrode / Ignitor Cover for Sizzler,2,NULL,NULL
Summerset,BBE-SF,BBE-SF,.000000,.000000,6.2950000000000,50.000,12.590000,SPARK IGNITION,NULL,NULL,NULL
Summerset,BBE-SIZ,BBE-SIZ,.000000,.000000,8.5500000000000,50.000,17.100000,BACKBURNER ELECTRODE SIZZLER,10,NULL,NULL
Summerset,BBE-SS,BBE-SS,.000000,.000000,7.3800000000000,50.000,14.760000,BACKBURNER ELECTRODE TRL,10,NULL,NULL
Summerset,BBE-SS-2,BBE-SS-2,.000000,.000000,8.5000000000000,50.000,17.000000,BACKBURNER ELECTRODE TRL (old part BBE-TRL),NULL,NULL,NULL
Summerset,BBE-TRL,BBE-TRL,.000000,.000000,8.5000000000000,50.000,17.000000,BACKBURNER ELECTRODE TRL,NULL,NULL,NULL
Summerset,BBEW-ALT,BBEW-ALT,.000000,.000000,10.5750000000000,50.000,21.150000,BACKBURNER ELECTRODE  WITH WIRE - ALTURI,38,NULL,NULL
Summerset,BBEW-SF,BBEW-SF,.000000,.000000,17.1650000000000,50.000,34.330000,WIRE  HARNESS,NULL,NULL,NULL
Summerset,BBEW-SIZ32,BBEW-SIZ32,.000000,.000000,23.3000000000000,50.000,46.600000,"Back Burner Electrode / Ignitor with Wire for 32""",8,NULL,NULL
Summerset,BBO-ALT-LP,BBO-ALT-LP,.000000,.000000,3.5000000000000,50.000,7.000000,Back Burner Orifice for ALT/ESTATE - LP,7,NULL,NULL
Summerset,BBO-SIZ-LP,BBO-SIZ-LP,.000000,.000000,3.5000000000000,50.000,7.000000,BACK BURNER ORIFICE,24,NULL,NULL
Summerset,BBO-SIZ-NG,BBO-SIZ-NG,2.000000,.000000,3.5000000000000,50.000,7.000000,Back Burner Orifice for SIZ -  NG,2,NULL,NULL
Summerset,BBO-SS-LP,BBO-SS-LP,.000000,.000000,3.7000000000000,50.000,7.400000,"BACK BURNER ORIFICE FOR TRL, TRLD,",2,NULL,NULL
Summerset,BBO-SS-NG,BBO-SS-NG,.000000,.000000,3.7000000000000,50.000,7.400000,"BACK BURNER ORIFICE FOR TRL, TRLD, PRM, PRO & STG -  NG",7,NULL,NULL
Summerset,BBV-ALT,BBV-ALT,.000000,.000000,17.5500000000000,50.000,35.100000,BACK BURNER VALE FOR ALT,32,NULL,NULL
Summerset,BBV-SIZ-LP,BBV-SIZ-LP,.000000,.000000,18.7200000000000,50.000,37.440000,Back Burner Valve for SIZ - LP,10,NULL,NULL
Summerset,BBV-SIZ-NG,BBV-SIZ-NG,2.000000,.000000,18.7200000000000,50.000,37.440000,Back Burner Valve for SIZ -NG,2,NULL,NULL
Summerset,BBV-SS-LP,BBV-SS-LP,.000000,.000000,19.3000000000000,50.000,38.600000,"Back Burner Valve for TRL, PRM, PRO & STG",10,NULL,NULL
Summerset,BBV-SS-NG,BBV-SS-NG,.000000,.000000,19.3000000000000,50.000,38.600000,"Back Burner Valve for TRL, PRM, PRO & STG",4,NULL,NULL
Summerset,BBW-SIZ32,BBW-SIZ32,.000000,.000000,12.1200000000000,50.000,24.240000,BACKBURNER WIRE SIZZLER 32,78,NULL,NULL
Summerset,BBW-TRL32,BBW-TRL32,.000000,.000000,10.3300000000000,50.000,20.660000,Backburner wire TRL:32,4,NULL,NULL
Summerset,BBW-TRL38,BBW-TRL38,.000000,.000000,11.4600000000000,50.000,22.920000,BACK BURNER WIRE FOR TRL38,31,NULL,NULL
Summerset,BCL-DRAIN,BCL-DRAIN,.000000,.000000,12.0550000000000,50.000,24.110000,REPLACEMENT DRAIN,NULL,NULL,NULL
Summerset,BDV-SIZ,BDV-SIZ,.000000,.000000,13.7900000000000,50.000,27.580000,Sizzler Rotisserie Valve,NULL,NULL,NULL
Summerset,BRIQ 24-ALT,BRIQ 24-ALT,.000000,.000000,19.1100000000000,50.000,38.220000,BRIQUETTES FOR ALTURI GRILL ALT 30 TAKES 2,51,NULL,NULL
Summerset,BRIQ 36-ALT,BRIQ 36-ALT,.000000,.000000,28.6600000000000,50.000,57.320000,BOX OF BRIQUETTES 36 PIECES (ALT 42 TAKES 2),48,NULL,NULL
Summerset,BRIQ 54-ALT,BRIQ 54-ALT,2.000000,.000000,42.9800000000000,50.000,85.960000,BRIQUETTES FOR ALTURI GRILL ALT 36 TAKES 1,2,NULL,NULL
Summerset,BRIQ 84,BRIQ 84,.000000,.000000,63.5900000000000,50.000,127.180000,84 BRIQUETTS IN BOX,16,NULL,NULL
Summerset,BRIQ66,BRIQ66,.000000,.000000,43.5600000000000,50.000,87.120000,SUMMERSET BRIQUETTES (66 TO A BOX),9,NULL,NULL
Summerset,BRNCOV-ALT42,BRNCOV-ALT42,.000000,.000000,126.0000000000000,50.000,252.000000,BURNER COVER FOR ALT42,NULL,NULL,NULL
Summerset,BRNCOV-ALT-LG,BRNCOV-ALT-LG,3.000000,.000000,92.5000000000000,50.000,185.000000,"LARGE BURNER COVER ONLY (NO BRIQUETTES)(1 Piece- 13 x 17 1/4"" - 30"" takes 2, 42"" takes 3)",2,NULL,NULL
Summerset,BRNCOV-ALT-LG-L,BRNCOV-ALT-LG-L,1.000000,.000000,118.9000000000000,50.000,237.800000,"Large Alturi Burner Cover w/ Briquettes (Piece - 13 x 17 1/4"" - 30"" takes 2, 42"" takes 3)",2,NULL,NULL
Summerset,BRNCOV-ALT-SM-L,BRNCOV-ALT-SM-L,.000000,.000000,105.1200000000000,50.000,210.240000,SMALL ALTURI BURNER COVER W BRIQUETTES,11,NULL,NULL
Summerset,BRNCOV-ATS36,BRNCOV-ATS36,.000000,.000000,118.9300000000000,50.000,237.860000,BURNER COVER AND BRIQUETS ATLAS (QTY 1),32,NULL,NULL
Summerset,BRNCOV-PRO-SM,BRNCOV-PRO-SM,.000000,.000000,54.0000000000000,50.000,108.000000,SMALL BURNER COVER - NO BRIQUETTE (PRO36 ~ 3 TRAYS REQUIRED),NULL,NULL,NULL
Summerset,BRNCOV-SIZ,BRNCOV-SIZ,53.000000,.000000,46.5900000000000,50.000,93.180000,BURNER COVER W/BRIQUETTES FOR SIZZLER (6 1/2 X 16),2,NULL,NULL
Summerset,BRNCOV-TRL-LG,BRNCOV-TRL-LG,35.000000,.000000,71.6300000000000,50.000,143.260000,"LARGE BURNER COVER W/BRIQUETTE TRL,TRLD 8 3/4 x 16 1/2",2,NULL,NULL
Summerset,BRNCOV-TRL-SM,BRNCOV-TRL-SM,1.000000,.000000,57.0700000000000,50.000,114.140000,"SMALL BURNER COVER W/BRIQUETTE TR, TRL 6 1/2"" by 16 1/2""",2,NULL,NULL
Summerset,BRN-SSSB1,BRN-SSSB1,.000000,.000000,52.6100000000000,50.000,105.220000,ROUND BRASS BURNER FOR SSSB1,NULL,NULL,NULL
Summerset,CART DOOR-SIZ32-L,CART DOOR-SIZ32-L,1.000000,.000000,133.0250000000000,50.000,266.050000,Summerset Cart Left side door,2,NULL,NULL
Summerset,CART DOOR-SIZ32-R,CART DOOR-SIZ32-R,.000000,.000000,133.0000000000000,50.000,266.000000,REPLACEMENT DOOR FOR SIZPRO CART RIGHT SIDE,NULL,NULL,NULL
Summerset,CART-ALT30,CART-ALT30,.000000,.000000,822.5000000000000,50.000,1645.000000,"Cart, 30"" - fits ALT30 - Fully Assembled Deluxe 2-Door",NULL,NULL,NULL
Summerset,CART-ALT36,CART-ALT36,.000000,.000000,1207.5000000000000,50.000,2415.000000,"Cart, 36"" - fits ALT36 - Fully Assembled Deluxe Door & 2-Drawer Combo",11,NULL,NULL
Summerset,CART-ALT42,CART-ALT42,.000000,.000000,1367.5000000000000,50.000,2735.000000,"Cart, 42"" - fits ALT42 - Fully Assembled Deluxe Door & 2-Drawer Combo",NULL,NULL,NULL
American Made Grill,CART-AMG36,CART-AMG36,1.000000,.000000,2655.6300000000000,43.000,4659.000000,"36"" Cart - Muscle/Encore",2,NULL,NULL
American Made Grill,CART-AMG54,CART-AMG54,.000000,.000000,3261.5400000000000,43.000,5722.000000,"54"" Cart - Muscle/Encore",NULL,NULL,NULL
American Made Grill,CART-ATLAS36,CART-ATLAS36,.000000,.000000,1023.1500000000000,43.000,1795.000000,"Cart for Atlas 36"" - New for 2022",1,NULL,NULL
Summerset,CARTCOV-26D,CARTCOV-26D,5.000000,.000000,80.0000000000000,50.000,160.000000,"Summerset 26"" Freestanding Deluxe Grill Cover (CARTCOV-26D)",2,NULL,NULL
Summerset,CARTCOV-32D,CARTCOV-32D,.000000,.000000,85.0000000000000,50.000,170.000000,"Summerset 32"" Freestanding Cart Deluxe Grill Cover (CARTCOV-32D)",4,NULL,NULL
Summerset,CARTCOV-38/40D,CARTCOV-38/40D,4.000000,.000000,95.0000000000000,50.000,190.000000,"Summerset 38/40"" Freestanding Cart Deluxe Grill Cover (CARTCOV-38/40D)",2,NULL,NULL
Summerset,CARTCOV-44D,CARTCOV-44D,1.000000,.000000,107.5000000000000,50.000,215.000000,"Summerset 44"" Freestanding Cart Deluxe Grill Cover (CARTCOV-44D)",2,NULL,NULL
Summerset,CARTCOV-ALT30D,CARTCOV-ALT30D,.000000,.000000,85.0000000000000,50.000,170.000000,"Summerset Alturi 30"" Freestanding Cart Deluxe Grill Cover (CARTCOV-ALT30D)",NULL,NULL,NULL
Summerset,CARTCOV-ALT36D,CARTCOV-ALT36D,.000000,.000000,95.0000000000000,50.000,190.000000,"Summerset Alturi 36"" Freestanding Cart Deluxe Grill Cover (CARTCOV-ALT36D)",11,NULL,NULL
Summerset,CARTCOV-ALT42D,CARTCOV-ALT42D,.000000,.000000,107.5000000000000,50.000,215.000000,"Summerset Alturi 42"" Freestanding Cart Deluxe Grill Cover (CARTCOV-ALT42D)",NULL,NULL,NULL
American Made Grill,CARTCOV-AMG36,CARTCOV-AMG36,.000000,.000000,145.3500000000000,43.000,255.000000,"36"" Grill Cover (Free Standing) - Encore/Muscle",6,NULL,NULL
American Made Grill,CARTCOV-AMG54,CARTCOV-AMG54,.000000,.000000,176.7000000000000,43.000,310.000000,"54"" Grill Cover (Free Standing) - Encore/Muscle",3,NULL,NULL
American Made Grill,CARTCOV-ATS36D,CARTCOV-ATS36D,.000000,.000000,76.9500000000000,43.000,135.000000,"Atlas 36"" Freestanding Deluxe Grill Cover",140,NULL,NULL
Summerset,CARTCOV-OVFS,CARTCOV-OVFS,.000000,.000000,102.5000000000000,50.000,205.000000,Summerset Deluxe Grill Cover for the Freestanding Oven (CARTCOV-OVFS),11,NULL,NULL
American Made Grill,CART-EST30,CART-EST30,2.000000,.000000,882.3600000000000,43.000,1548.000000,"30"" Cart - Estate",2,NULL,NULL
American Made Grill,CART-EST36,CART-EST36,1.000000,.000000,1234.6200000000000,43.000,2166.000000,"36"" Cart - Estate",2,NULL,NULL
American Made Grill,CART-EST42,CART-EST42,.000000,.000000,1332.6600000000000,43.000,2338.000000,"42"" Cart - Estate",38,NULL,NULL
Summerset,CART--GRID30,CART--GRID30,1.000000,.000000,575.0000000000000,50.000,1150.000000,"Deluxe Cart, Handleless, Fold-Down Side Shelves, KD (Fits GRID30-LP, GRID30-NG)",2,NULL,NULL
Summerset,CART-OV,CART-OV,.000000,.000000,224.9950000000000,50.000,449.990000,PIZZA OVEN CART ONLY,18,NULL,NULL
Summerset,CARTSHELF-SIZ,CARTSHELF-SIZ,2.000000,.000000,90.8400000000000,50.000,181.680000,SIDE SHELF FOR SIZZLER CART,2,NULL,NULL
Summerset,CART-SIZ26,CART-SIZ26,1.000000,.000000,555.0000000000000,50.000,1110.000000,"Cart, 26"" - fits SIZ26 Grill",2,NULL,NULL
Summerset,CART-SIZ32,CART-SIZ32,4.000000,.000000,655.0000000000000,50.000,1310.000000,"Cart, 32"" - fits SIZ32 and SIZPRO32 Grill",2,NULL,NULL
Summerset,CART-SIZ32-DC,CART-SIZ32-DC,.000000,.000000,870.0000000000000,50.000,1740.000000,"Cart, 32"" - fits SIZ32 and SIZPRO32 Grill - Fully Assembled Door & 2-Drawer Combo",37,NULL,NULL
Summerset,CART-SIZ40,CART-SIZ40,2.000000,.000000,710.0000000000000,50.000,1420.000000,"Cart, 40"" - fits SIZ40 and SIZPRO40 Grill",2,NULL,NULL
Summerset,CART-SIZ40-DC,CART-SIZ40-DC,1.000000,.000000,930.0000000000000,50.000,1860.000000,"Cart, 40"" - fits SIZ40 and SIZPRO40 Grill - Fully Assembled Door & 2-Drawer Combo",2,NULL,NULL
Summerset,CART-SIZ-SB2BK,CART-SIZ-SB2BK,.000000,.000000,215.0000000000000,50.000,430.000000,Cart Bracket - Side Burner for Sizzler Carts,43,NULL,NULL
Summerset,CART-SIZ-SB2BK-R,CART-SIZ-SB2BK-R,.000000,.000000,215.0000000000000,50.000,430.000000,Right side Cart Bracket - Side Burner for Sizzler Carts,4,NULL,NULL
Summerset,CART-TRL32,CART-TRL32,.000000,.000000,662.5000000000000,50.000,1325.000000,"Cart, 32"" - fits TRL32",4,NULL,NULL
Summerset,CART-TRL32-DC,CART-TRL32-DC,.000000,.000000,835.0000000000000,50.000,1670.000000,"Cart, 32"" - fits TRL32 Grill - Fully Assembled Door & 2-Drawer Combo",128,NULL,NULL
Summerset,CART-TRL38,CART-TRL38,2.000000,.000000,742.5000000000000,50.000,1485.000000,"Cart, 38"" - fits TRL38",2,NULL,NULL
Summerset,CART-TRL38-DC,CART-TRL38-DC,1.000000,.000000,1017.5000000000000,50.000,2035.000000,"Cart, 38"" - fits TRL38 Grill - Fully Assembled Door & 2-Drawer Combo",2,NULL,NULL
Summerset,CART-TRLD44-DC,CART-TRLD44-DC,.000000,.000000,1172.5000000000000,50.000,2345.000000,"Cart, 44"" - fits TRL44D Grill - Fully Assembled Door & 2-Drawer Combo",6,NULL,NULL
Summerset,CART-WHEEL,CART-WHEEL,.000000,.000000,17.3600000000000,50.000,34.720000,Wheel for Carts,NULL,NULL,NULL
Summerset,CAST-SIZ,CAST-SIZ,2.000000,.000000,65.9200000000000,50.000,131.840000,CAST BURNER FOR SIZZLER SERIES,2,NULL,NULL
Summerset,CAST-TRL,CAST-TRL,2.000000,.000000,105.5200000000000,50.000,211.040000,BURNER - CAST STAINLESS TR & PREMIER SERIES MAIN BURNER,2,NULL,NULL
Summerset,CHIMNEY-OV,CHIMNEY-OV,.000000,.000000,31.0600000000000,50.000,62.120000,THE OVEN STAINLESS STEEL CHIMNEY,NULL,NULL,NULL
Summerset,CLIP-SSRFR-24,CLIP-SSRFR-24,.000000,.000000,1.5000000000000,50.000,3.000000,REPLACEMENT CLIP FOR RACK,5,NULL,NULL
Summerset,CROSS TUBE-TRL32,CROSS TUBE-TRL32,.000000,.000000,15.5000000000000,50.000,31.000000,REPLACEMENT CROSS OVER TUBE TRL32 (qty 1),4,NULL,NULL
Summerset,CROSS-TUBE-SIZ,CROSS-TUBE-SIZ,4.000000,.000000,10.9200000000000,50.000,21.840000,REPLACEMENT CROSS OVER TUBE,2,NULL,NULL
Summerset,DC2-30,DC2-30,16.000000,.000000,569.5000000000000,50.000,1139.000000,"30"" 2-Drawer and Access Door Combo with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DC2-33,DC2-33,31.000000,.000000,598.0000000000000,50.000,1196.000000,"33"" 2-Drawer and Access Door Combo with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DC2-33LP,DC2-33LP,3.000000,.000000,723.0000000000000,50.000,1446.000000,"33"" 2-Drawer & Vented LP Tank Pullout Drawer Combo (2024 Handle)",2,NULL,NULL
Summerset,DC2-33M,DC2-33M,12.000000,.000000,668.5000000000000,50.000,1337.000000,"33"" 2-Drawer and Access Door Combo with Hidden Hinge - Masonry Frame (2024 Handle)",2,NULL,NULL
Summerset,DC2-36,DC2-36,10.000000,.000000,668.5000000000000,50.000,1337.000000,"36"" 2-Drawer and Access Door Combo with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DC2-42,DC2-42,10.000000,.000000,700.0000000000000,50.000,1400.000000,"42"" 2-Drawer and Access Door Combo with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DC3-33,DC3-33,8.000000,.000000,725.0000000000000,50.000,1450.000000,"33"" 3-Drawer and Access Door Combo with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-26,DD-26,7.000000,.000000,240.0000000000000,50.000,480.000000,"26"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-30,DD-30,67.000000,.000000,278.0000000000000,50.000,556.000000,"30"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-33,DD-33,69.000000,.000000,291.0000000000000,50.000,582.000000,"33"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-33M,DD-33M,6.000000,.000000,329.5000000000000,50.000,659.000000,"33"" Double Access Door with Hidden Hinge - Masonry Frame (2024 Handle)",2,NULL,NULL
Summerset,DD-33V,DD-33V,1.000000,.000000,284.5000000000000,50.000,569.000000,"33"" Double Access Door with Hidden Hinge - Vented (2024 Handle)",2,NULL,NULL
Summerset,DD-36,DD-36,3.000000,.000000,316.5000000000000,50.000,633.000000,"36"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-39,DD-39,1.000000,.000000,342.0000000000000,50.000,684.000000,"39"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-42,DD-42,1.000000,.000000,368.0000000000000,50.000,736.000000,"42"" Double Access Door with Hidden Hinge (2024 Handle)",2,NULL,NULL
Summerset,DD-45,DD-45,1.000000,.000000,403.0000000000000,50.000,806.000000,"45"" Double Access Door (2024 Handle)",2,NULL,NULL
Summerset,DD-45M,DD-45M,5.000000,.000000,406.0000000000000,50.000,812.000000,"45"" Double Access Door Masonry Frame Return (2024 Handle)",2,NULL,NULL
Summerset,DH-22,DH-22,.000000,.000000,179.0000000000000,50.000,358.000000,"22x20"" Horizontal Access Door with Hidden Hinge (2024 Handle)",4,NULL,NULL
Summerset,DH-27,DH-27,52.000000,.000000,214.0000000000000,50.000,428.000000,27 x 20 Horizontal Access Door with Hidden Hinge (2024 Handle),2,NULL,NULL
Summerset,DH-27M,DH-27M,3.000000,.000000,233.5000000000000,50.000,467.000000,"27"" Horizontal Door Masonry Frame Return (2024 Handle)",2,NULL,NULL
Summerset,DISPLAY- RACK,DISPLAY- RACK,.000000,.000000,471.0000000000000,50.000,942.000000,SUMMERSET DISPLAY RACK - 2 TIER,NULL,NULL,NULL
Summerset,DISPLAY-DRDRWR,DISPLAY-DRDRWR,.000000,.000000,.0000000000000,50.000,.000000,DOOR-AND-DRAWER DISPLAY ISLAND,NULL,NULL,NULL
Summerset,DOOR ASSEMBLY-OV,DOOR ASSEMBLY-OV,.000000,.000000,174.6900000000000,50.000,349.380000,THE OVEN DOOR ASSEMBLY,32,NULL,NULL
Summerset,DOOR-RFR-22S,DOOR-RFR-22S,.000000,.000000,95.0000000000000,50.000,190.000000,REPLACEMENT DOOR FOR REFRIGERATOR 22S,NULL,NULL,NULL
Summerset,DOOR-SSRFR-21S,DOOR-SSRFR-21S,2.000000,.000000,81.0000000000000,50.000,162.000000,REPLACEMENT DOOR FOR REFRIGERATOR 21S,2,NULL,NULL
Summerset,DOOR-SSRFR-24DK,DOOR-SSRFR-24DK,.000000,.000000,313.6900000000000,50.000,627.380000,DOOR REPLACEMENT FOR SSRFR-24DK2,38,NULL,NULL
