Inventory ID,Inventory Description,Warehouse,Warehouse Location,Qty. Hard Available,Vendor SKU,Barcode,Supplier ID,Supplier,Brands,Item Class,Item Class Description,AES Retail Price,Volume,Weight
AGWB35FS,"NRP - Gateway 3500 Wood-Burning Stove, 3.5 cu.ft., Metallic Black",10,Kent DC,7.00,WB35FS,720968961709,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,119.00",0.00,466.00
AGWB35FS,"NRP - Gateway 3500 Wood-Burning Stove, 3.5 cu.ft., Metallic Black",40,Rogers DC,2.00,WB35FS,720968961709,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,119.00",0.00,466.00
AGWB35FS,"NRP - Gateway 3500 Wood-Burning Stove, 3.5 cu.ft., Metallic Black",30,Denver DC,3.00,WB35FS,720968961709,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,119.00",0.00,466.00
AGWB35FS,"NRP - Gateway 3500 Wood-Burning Stove, 3.5 cu.ft., Metallic Black",50,Dallas DC,24.00,WB35FS,720968961709,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,"3,119.00",0.00,466.00
AGWBS1BL,"Barrier, Black (Fire Screen)",10,Kent DC,73.00,WBS1BL,720968961389,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,174.00,2.13,5.50
AGWBS1BL,"Barrier, Black (Fire Screen)",50,Dallas DC,45.00,WBS1BL,720968961389,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,174.00,2.13,5.50
AGWBS1BL,"Barrier, Black (Fire Screen)",20,Sacramento DC,6.00,WBS1BL,720968961389,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,174.00,2.13,5.50
AGWBS1BL,"Barrier, Black (Fire Screen)",30,Denver DC,4.00,WBS1BL,720968961389,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,174.00,2.13,5.50
AGWBS2BL,"Barrier, Black (Fire Screen)",10,Kent DC,41.00,WBS2BL,720968961372,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,189.00,0.00,5.70
AGWBS2BL,"Barrier, Black (Fire Screen)",20,Sacramento DC,12.00,WBS2BL,720968961372,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,189.00,0.00,5.70
AGWBS2BL,"Barrier, Black (Fire Screen)",50,Dallas DC,22.00,WBS2BL,720968961372,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,189.00,0.00,5.70
AGWBS2BL,"Barrier, Black (Fire Screen)",30,Denver DC,4.00,WBS2BL,720968961372,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,189.00,0.00,5.70
AGWBS3BL,"Barrier, Black (Fire Screen)",30,Denver DC,4.00,WBS3BL,720968961365,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWBS3BL,"Barrier, Black (Fire Screen)",20,Sacramento DC,9.00,WBS3BL,720968961365,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWBS3BL,"Barrier, Black (Fire Screen)",10,Kent DC,5.00,WBS3BL,720968961365,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWBS3BL,"Barrier, Black (Fire Screen)",50,Dallas DC,16.00,WBS3BL,720968961365,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,209.00,0.00,10.00
AGWBS4BL,"Barrier, Black (Fire Screen)",10,Kent DC,2.00,WBS4BL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,199.00,0.00,7.00
AGWBS4BL,"Barrier, Black (Fire Screen)",40,Rogers DC,11.00,WBS4BL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,199.00,0.00,7.00
AGWD1BL,"Door Overlay, Matte Black",40,Rogers DC,5.00,WD1BL,720968961525,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.39,2.00
AGWD1BL,"Door Overlay, Matte Black",50,Dallas DC,7.00,WD1BL,720968961525,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.39,2.00
AGWD1BL,"Door Overlay, Matte Black",10,Kent DC,9.00,WD1BL,720968961525,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.39,2.00
AGWD1BL,"Door Overlay, Matte Black",20,Sacramento DC,16.00,WD1BL,720968961525,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.39,2.00
AGWD1BL,"Door Overlay, Matte Black",30,Denver DC,9.00,WD1BL,720968961525,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.39,2.00
AGWD1NB,"Door Overlay, Nickel",30,Denver DC,2.00,WD1NB,720968961518,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,254.00,0.39,2.00
AGWD1NB,"Door Overlay, Nickel",10,Kent DC,17.00,WD1NB,720968961518,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,254.00,0.39,2.00
AGWD1NB,"Door Overlay, Nickel",50,Dallas DC,20.00,WD1NB,720968961518,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,254.00,0.39,2.00
AGWD1NB,"Door Overlay, Nickel",20,Sacramento DC,2.00,WD1NB,720968961518,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,254.00,0.39,2.00
AGWD2BL,"Door Overlay, Matte Black",20,Sacramento DC,17.00,WD2BL,720968961501,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.50
AGWD2BL,"Door Overlay, Matte Black",30,Denver DC,10.00,WD2BL,720968961501,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.50
AGWD2BL,"Door Overlay, Matte Black",50,Dallas DC,3.00,WD2BL,720968961501,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.50
AGWD2BL,"Door Overlay, Matte Black",10,Kent DC,1.00,WD2BL,720968961501,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.50
AGWD2NB,"Door Overlay, Nickel",50,Dallas DC,24.00,WD2NB,720968961495,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,259.00,0.00,2.50
AGWD2NB,"Door Overlay, Nickel",30,Denver DC,2.00,WD2NB,720968961495,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,259.00,0.00,2.50
AGWD2NB,"Door Overlay, Nickel",10,Kent DC,37.00,WD2NB,720968961495,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,259.00,0.00,2.50
AGWD2NB,"Door Overlay, Nickel",20,Sacramento DC,5.00,WD2NB,720968961495,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,259.00,0.00,2.50
AGWD2NB,"Door Overlay, Nickel",40,Rogers DC,2.00,WD2NB,720968961495,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,259.00,0.00,2.50
AGWD3BL,"Door Overlay, Matte Black",30,Denver DC,3.00,WD3BL,720968961488,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.00
AGWD3BL,"Door Overlay, Matte Black",20,Sacramento DC,10.00,WD3BL,720968961488,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.00
AGWD3BL,"Door Overlay, Matte Black",40,Rogers DC,2.00,WD3BL,720968961488,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.00
AGWD3BL,"Door Overlay, Matte Black",50,Dallas DC,34.00,WD3BL,720968961488,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.00
AGWD3BL,"Door Overlay, Matte Black",10,Kent DC,4.00,WD3BL,720968961488,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,67.00,0.00,2.00
AGWD3NB,"Door Overlay, Nickel",20,Sacramento DC,2.00,WD3NB,720968961471,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,264.00,0.00,2.00
AGWD3NB,"Door Overlay, Nickel",30,Denver DC,2.00,WD3NB,720968961471,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,264.00,0.00,2.00
AGWD3NB,"Door Overlay, Nickel",50,Dallas DC,11.00,WD3NB,720968961471,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,264.00,0.00,2.00
AGWD3NB,"Door Overlay, Nickel",10,Kent DC,9.00,WD3NB,720968961471,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,264.00,0.00,2.00
AGWD4BL,"Door Overlay, Black",10,Kent DC,1.00,WD4BL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,139.00,0.00,3.00
AGWD4BL,"Door Overlay, Black",40,Rogers DC,4.00,WD4BL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,139.00,0.00,3.00
AGWD4NB,"Door Overlay, Nickel",40,Rogers DC,4.00,WD4NB,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,389.00,0.00,3.00
AGWD4NB,"Door Overlay, Nickel",10,Kent DC,2.00,WD4NB,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,389.00,0.00,3.00
AGWD5BL,"Door Overlay, Black",40,Rogers DC,1.00,WD5BL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,199.00,0.00,4.00
AGWD5NB,"Door Overlay, Nickel",40,Rogers DC,1.00,WD5NB,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,449.00,0.00,4.00
AGWF4TBL,Traditional Faceplate St. Clair 3000,10,Kent DC,2.00,WF4TBL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,479.00,0.00,31.00
AGWF4TBL,Traditional Faceplate St. Clair 3000,40,Rogers DC,5.00,WF4TBL,,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WDPART,Empire Comfort Wood Replacement Parts,479.00,0.00,31.00
AGWLQ1BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",50,Dallas DC,2.00,WLQ1BL,720968961655,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,449.00,1.67,44.00
AGWLQ1BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",10,Kent DC,6.00,WLQ1BL,720968961655,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,449.00,1.67,44.00
AGWLQ1BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",20,Sacramento DC,15.00,WLQ1BL,720968961655,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,449.00,1.67,44.00
AGWLQ1NB,"Leg Kit with Ash Pan, Queen Anne, Nickel",50,Dallas DC,2.00,WLQ1NB,720968961648,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,744.00,1.66,42.00
AGWLQ1NB,"Leg Kit with Ash Pan, Queen Anne, Nickel",10,Kent DC,8.00,WLQ1NB,720968961648,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,744.00,1.66,42.00
AGWLQ1NB,"Leg Kit with Ash Pan, Queen Anne, Nickel",20,Sacramento DC,1.00,WLQ1NB,720968961648,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,744.00,1.66,42.00
AGWLQ2BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",20,Sacramento DC,9.00,WLQ2BL,720968961617,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,459.00,0.00,47.00
AGWLQ2BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",50,Dallas DC,1.00,WLQ2BL,720968961617,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,459.00,0.00,47.00
AGWLQ2BL,"Leg Kit with Ash Pan, Queen Anne, Matte Black",10,Kent DC,4.00,WLQ2BL,720968961617,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,459.00,0.00,47.00
AGWLQ2NB,"Leg Kit with Ash Pan, Queen Anne, Nickel",50,Dallas DC,3.00,WLQ2NB,720968961600,V000584,"Empire Comfort Systems, Inc.",Empire Wood,APPLIANCE -AG -WOOD,Empire Comfort Wood,764.00,0.00,46.00
