LG,"Part #",Description,Quantity
Warehouse,56426,"2-Sided Porcelain-Enameled Cast Iron Griddle For Rogue 425(-1), 525-1 & 625-1 (BUY IN MULTIPLES OF 4)",0
Warehouse,57013,"Adjustable Stainless Steel Rotisserie Basket",32
Warehouse,61285,"TravelQ 285 Carry Bag",10
Warehouse,61286,"TravelQ PRO285 & 285 Cover",7
Warehouse,61287,"TravelQ PRO285 on Stand Cover",5
Warehouse,61288,"TravelQ 285X Scissor Cart Cover",12
Warehouse,61427,"Rogue 425 Series Grill Cover",275
Warehouse,61444,"Freestyle Series Grill Cover (Shelves Up)",240
Warehouse,61500,"PRO 500 & Prestige 500 Series Grill Cover",251
Warehouse,61501,"PRO 500 & Prestige 500 Built-in Grill Cover",41
Warehouse,61527,"Rogue 525 Series Grill Cover - New Style (All Rogue 525 Models)",31
Warehouse,61665,"PRO 665 Grill Cover",69
Warehouse,61666,"PRO 665 Built-in Grill Cover",3
Warehouse,61825,"PRO 825 Grill Cover",10
Warehouse,61826,"PRO 825 Built-in Grill Cover",3
Warehouse,61830,"Built-in 700 Series 32"" Grill Cover",24
Warehouse,61836,"Built-in 700 Series 38"" Grill Cover",6
Warehouse,61842,"Built-in Series 700 44"" Grill Cover",7
Warehouse,61850,"Square Cover for St. Tropez and Kensington",25
Warehouse,61851,"Rectangle Cover for St. Tropez and Kensington",24
Warehouse,61852,"Square Cover for Hamptons",14
Warehouse,61853,"Rectangle Cover for Hamptons",16
Warehouse,61855,"Round Cover for Kensington",6
Warehouse,61856,"Rectangle Cover for Uptown",9
Warehouse,61914,"NK18 Charcoal Grill Cover",5
Warehouse,61916,"22 Inch Charcoal Grill Cover for Cart Models (Available Feb 2024)",2
Warehouse,62006,"DISPOSABLE ALUMINUM GREASE TRAYS FOR TRAVELQ SERIES",83
Warehouse,62007,"Grease Drip Trays (6"" x 5"") - Pack of 5",0
Warehouse,62008,"Large Grease Drip Trays (14"" x 8"")",24
Warehouse,62020,"Drip Pan Liner For Rogue 425 Models - PACK OF 3 (Buy in multiples of 6)",0
Warehouse,62021,"Drip Pan Liner For Rogue 525 Models (PACK OF 3) (BUY IN MULTIPLES OF 6)",43
Warehouse,62023,"DRIP PAN LINER FOR PRO/PRESTIGE 500 MODELS - PACK OF 3 (Sold in MP 6)",0
Warehouse,62026,"Drip Pan Liner (3 Pack) for Freestyle 365",34
Warehouse,62029,"Drip Pan Liner (3 Pack) for Freestyle 425",29
Warehouse,62031,"Stainless Steel Grid Scraper",12
Warehouse,62035,"PRO Stainless Steel Brush",55
Warehouse,62053,"Natural Fiber Grill Brush With Grid Scraper",0
Warehouse,62055,"Bristle Free Wide Grill Brush (BUY IN MULTIPLES OF 12)",204
Warehouse,62062,"TRIPLE-ROW GRILL BRUSH WITH BRASS BRISTLES",6
Warehouse,62121,"Grid Lifter",15
Warehouse,62145,"Heat Resistant BBQ Glove",51
Warehouse,62147,"Genuine Leather BBQ Gloves (Buy in multiples of 12)",63
Warehouse,64000,"Rotisserie Grill Basket",261
Warehouse,64008,"Rotisserie Shish Kebab Skewer Set (BUY IN MULTIPLES OF 6)",35
Warehouse,66004,"TRAVELQ 20LB PROPANE TANK 48"" CONNECTION HOSE",4
Warehouse,66287,"RV Adaptor Kit for all TravelQ 285 Series",2
Warehouse,67002,"Maple Wood Chips",17
Warehouse,67003,"Hickory Wood Chips",30
Warehouse,67011,"PRO Stainless Steel Smoker Pipe (Buy in multiples of 12)",58
Warehouse,67013,"Stainless Steel Smoker Box(BUY IN MULTIPLES OF 6)",110
Warehouse,67732,"Cast Iron Charcoal and Smoker Tray",50
Warehouse,68001,"Grill Mat for PRO & Prestige 500 Series and Smaller (Buy in multiples of 6)",0
Warehouse,68002,"Grill Mat For Large Grills - SIZE: 90"" X 35"" (BUY IN MULTIPLES OF 3)",16
Warehouse,69002,"Commercial Quality Collapible Rotisserie Forks",27
Warehouse,69211,"Heavy Duty Rotisserie Kit for Prestige PRO 500 series grills",9
Warehouse,69231,"Commercial Grade Rotisserie Kit for Prestige 500 Series Grills",2
Warehouse,69301,"HEAVY DUTY ROTISSERIE FOR FREESTYLE",1
Warehouse,69851,"Add-on Rotisserie Kit For Built-In 700 Series 44",14
Warehouse,69911,"Heavy Duty Rotisserie Kit for All Rogue Series Grills",9
Warehouse,6CASTERS,"Set of 6: 2 Rigid, 2 Swivel Non-Locking, & 2 Swivel Locking Casters",17
Warehouse,70000,"10 Inch Personal Sized Pizza/Baking Stone Set (Buy in multiples of 6)",24
Warehouse,70003,"PRO Pizza Spatula (BUY IN MULTIPLES OF 4)",8
Warehouse,70006,"PRO Wireless Digital Thermometer (BUY IN MULTIPLES OF 6)",14
Warehouse,70012,"PRO Cutting Board with Stainless Steel Bowls (Buy in multiples of 4)",17
Warehouse,70015,"Eight Stainless Steel Multifunctional Skewers",36
Warehouse,70024,"3 Piece Stainless Steel BBQ Toolset (BUY IN MULTIPLES OF 6)",28
Warehouse,70032,"2 Piece Toolset (MP6)",42
Warehouse,70033,"PRO Stainless Steel 2 Piece Toolset",7
Warehouse,70034,"PRO Stainless Steel 3 Piece Toolset",13
Warehouse,70036,"Executive 3 Piece Toolset (Buy in multiples of 4)",30
Warehouse,70048,"Fast Read Thermometer",4
Warehouse,70049,"Grill Light (BUY IN MULTIPLES OF 6)",66
Warehouse,70051,"TravelQ  3 Piece Toolset (BUY IN MULTIPLES OF 6)",32
Warehouse,70060,"Gourmet Burger Press Kit",6
Warehouse,70066,"Premium Cutting Board and Knife Set",13
Warehouse,70113,"BAMBOO CUTTING BOARD (BUY IN MULTIPLES OF 6)",8
Warehouse,70115,"Bamboo 12"" Skewers",12
Warehouse,70122,"SIDE SHELF MAT",13
Warehouse,7100-001948,"17CGC-48-Silver Vein Top/ Grey Glimmer Shaker FDP Large Egg - 9 in SS pulls",11
Warehouse,7100-001949,"17CGC-54-Grey Glimmer Shaker FDP-SV Top",3
Warehouse,7100-001976,"17CGC-76LG-Sand Shaker FDP/Walnut Top",4
Warehouse,7100-001994,"17CGC-48-Copper Vein Top/ Cappuccino Shaker FDP/ Large Egg/9 in SS pulls",0
Warehouse,7100-002001,"17CGC-48-Silver Vein Top/ Textured Black Shaker FDP Large Egg/9 in SS pulls",0
Warehouse,7100-002002,"17CGC-48-Sand Shaker FDP/Walnut Top Large Egg - 9 in SS pulls",7
Warehouse,7100-002006,"17CGC-76LG-Cappucino Shaker FDP-CV Top",4
Warehouse,7100-002007,"17CGC-76LG-Grey Glimmer Shaker FDP-SV Top",4
Warehouse,7100-002008,"17CGC-76LG-Textured Black Shaker-SV Top",4
Warehouse,7100-002009,"17CGC-54-Cappuccino Shaker FDP-CV Top",4
Warehouse,7100-002010,"17CGC-54-Textured Black Shaker-SV Top",3
Warehouse,7100-002011,"17CGC-76XL-Cappuccino Shaker FDP-CV Top",2
Warehouse,7100-002012,"17CGC-76XL-Grey Glimmer Shaker FDP-SV",1
Warehouse,7100-002013,"17CGC-76XL-Textured Black Shaker FDP -SV",1
Warehouse,71200,"PIZZA STAINLESS STEEL ADD-ON/OVEN FOR GAS GRILLS",8
Warehouse,7650-000067,"7650 COGI-80.875-WGDDDD SHAKER Coastal, 80.875(w)x36.25(h)x25(d), Silver Vein Top, Textured Grey Glimmer FDP, From Left to Right: Waste Basket Unit, Grill Base for Delta Heat DHBQ32 Grill, (LH/RH doors underneath with LP Tray wi",4
Warehouse,7650-000135,"Toe Kick for 80.875-WGDDDD- Cappuccino",2
Warehouse,7650-000281,"Toe Kick Kit for 67.25-DDGW-Cappucino",2
Warehouse,7650-000346,"Toe Kick for 83-GDK Coastal - Cappucino",10
Warehouse,7650-000736,"7650 COGI-80.875-WGDDDD SHAKER Coastal, 80.875(w)x36.25(h)x25(d), Copper Vein Top, Cappuccino FDP, From Left to Right: Waste Basket Unit (with 1-Drawer above), Grill Base for 32"" Delta Heat Grill , (LH/RH doors underneath with LP Tray with floor cover",1
Warehouse,7650-000756,"Toe Kick Kit for 67.25-DDGW-Grey Glimmer",8
Warehouse,7650-000766,"7650 COGI-83-KDG-SHAKER Coastal SV Top/ Text White Shaker FDP",2
Warehouse,7650-000767,"7650 COGI-83-KDG SHAKER Coastal SV Top/Grey Glimmer Shaker FDP",0
Warehouse,7650-000897,"Toe Kick for 83-GDK Coastal - Grey Glimmer",8
Warehouse,7650-001445,"Toe Kick for 83-GDK Coastal - Textured White",2
Warehouse,7650-001995,"Toe Kick for 80.875-WGDDDD- Grey Glimmer",2
Warehouse,7650-002118,"7650 COGI-93.125-TK Toe Kick Kit for 93.125 Coastal  Front, Back, and Sides. Include Hardware and Brackets, Textured Grey Glimmer",1
Warehouse,7650-002119,"7650 COGI-93.125-TK Toe Kick Kit for 93.125 Coastal  Front, Back, and Sides. Include Hardware and Brackets, Cappuccino",1
Warehouse,7650-002121,"7650 COGI-76.5-TK Toe Kick Kit for 76.5 Coastal  Front, Back, and Sides. Include Hardware and Brackets, Grey Glimmer",2
Warehouse,7650-002122,"7650 COGI-76.5-TK Toe Kick Kit for 76.5 Coastal  Front, Back, and Sides. Include Hardware and Brackets, Cappuccino",2
Warehouse,7650-002465,"Toe Kick for 83-GDK Coastal - Sand",2
Warehouse,7650-002524,"7650 COGI-83-GDK-Sand Shaker FDP/Walnut Top",2
Warehouse,7650-002536,"7650 COGI-76.5-GRW SHAKER Coastal, 76.5(w)x36.25(h)x25(d), Silver Vein Top , Textured Grey Glimmer FDP, From Left: (For 32"" Delta Heat) Grill, (LH/RH doors underneath with LP Tray with floor cover installed), 24"" Refer Opening , Waste Basket Pull Out w",5
Warehouse,7650-002540,"7650 COGI-83-GDK-01 SHAKER Coastal, 83(w)x36.25(h)x31(d), Copper Vein Top, Cappuccino Frame, Doors and Panels, From Left: Grill Base for Napoleon BIG32 Grill, (LH/RH doors underneath with LP Tray with floor cover installed), Door Base (1-Door LH), Cera",1
Warehouse,7650-002541,"7650 COGI-83-GDK-01 SHAKER Coastal, 83(w)x36.25(h)x31(d), Silver Vein Top, Textured Grey Glimmer Frame, Doors and Panels, From Left: Grill Base for Napoleon BIG32 Grill, (LH/RH doors underneath with LP Tray with floor cover installed), Door Base (1-Doo",2
Warehouse,7650-002560,"7650 COGI-76.5-GRW SHAKER Coastal, 76.5(w)x36.25(h)x25(d), CV Top, Cappuccino FDP, From Left: Grill Base for Napoleon BIG32 Grill , (LH/RH doors underneath with LP Tray with floor cover installed), 24"" Refer Opening, Waste Basket Pull Out with Drawer a",3
Warehouse,7650-002561,"7650 COGI-76.5-GRW SHAKER Coastal, 76.5(w)x36.25(h)x25(d), SV Top, Textured GG FDP, From Left: Grill Base for Napoleon BIG32 Grill , (LH/RH doors underneath with LP Tray with floor cover installed), 24"" Refer Opening, Waste Basket Pull Out with Drawer",1
Warehouse,7650-002643,"7650 COGI-67.25-DDGW SHAKER Coastal Island, 67.25""Wx36.25""Hx25""D, Copper Vein Countertop, Cappuccino FDP, Gas Grill Base for Napoleon BIG32 Grill, Pull Out Waste Bin Base with Drawer, Door Drawer Base, Venting in Back, 9"" SS Pulls, 4-4"" Adj. legs",2
Warehouse,7650-002644,"7650 COGI-67.25-DDGW SHAKER Coastal Island, 67.25""Wx36.25""Hx25""D, Silver Vein Countertop, Textured Grey Glimmer FDP, Gas Grill Base for Napoleon BIG32 Grill, Pull Out Waste Bin Base with Drawer, Door Drawer Base, Venting in Back, 9"" SS Pulls, 4-4"" Adj.",0
Warehouse,7650-002646,"7650 COGI-83-GDK SHAKER Coastal, 83(w)x36.25(h)x31(d),Copper Vein Top, Cappuccino FDP From Left: Grill Base for 32"" Delta Heat Grill, (LH/RH doors underneath with LP Tray with floor cover installed), Door Base (1-Door LH), Ceramic Grill Base (LH/RH), f",5
Warehouse,7650-002647,"7650 COGI-83-GDK SHAKER Coastal, 83(w)x36.25(h)x31(d), Silver Vein Top, Textured Grey Glimmer FDP, From Left: Grill Base for 32"" Delta Grill, (LH/RH doors underneath with LP Tray with floor cover installed), Door Base (1-Door LH), Ceramic Grill Base (L",3
Warehouse,7650-002648,"COGI-83-GDK SHAKER Coastal, 83(w)x36.25(h)x31(d), Silver Vein Top, Textured White FDP, From Left: Grill Base for 32"" Delta Heat Grill, (LH/RH doors underneath with LP Tray with floor cover installed), Door Base (1-Door LH), Ceramic",4
Warehouse,7650-002649,"7650 COGI-83-KDG-01 SHAKER Coastal, 83(w)x36.25(h)x31(d), Copper Vein Top, Cappuccino Frame, Doors and Panels, From Left: Ceramic Grill Base (LH/RH), for Large BGE, Door Base (1-Door LH), Grill Base for 32"" Delta Heat Grill, (LH/RH doors underneath wit",3
Warehouse,7650-002650,"7650 COGI-83-KDG-02 SHAKER Coastal, 83(w)x36.25(h)x31(d), Silver Top, Textured Grey Glimmer Frame, Doors and Panels, From Left: Ceramic Grill Base (LH/RH), for XL BGE, Door Base (1-Door LH), Grill Base for 32"" Delta Heat Grill, (LH/RH doors",6
Warehouse,7650-002655,"7650 COGI-76.5-GRW SHAKER Coastal, 76.5(w)x36.25(h)x25(d), Copper Vein Top , Cappuccino FDP, From Left: (For 32"" DH) Grill, 24"" Refer Opening , Waste Basket Pull Out with Drawer at Top on Right, 9"" SS Pulls, 4"" SS Adj. Legs",1
Warehouse,811145,"Touch Up Paint- Prepaint BGE Green",0
Warehouse,811336,"Touch up paint pen - Silver Vein Top Coat",1
Warehouse,811337,"Touch up paint pen - Silver Vein Base Coat",4
Warehouse,811338,"Touch Up Paint - Copper Vein Top Coat",1
Warehouse,811339,"Touch Up Paint - Copper Vein Base Coat",5
Warehouse,811340,"Touch up paint pen- Speckled Walnut",3
Warehouse,812121,"Touch up paint pen - Charcoal Grey",3
Warehouse,812150,"Touch Up Paint - Cappuccino",3
Warehouse,812151,"Touch up paint pen- Textured Grey Glimmer",1
Warehouse,812152,"Touch Up Paint - Textured Black",1
Warehouse,817037,"Touch up paint- Textured White",1
Warehouse,ACCDISPLAY-4,"4 Foot Accessory Display",0
Warehouse,AD-TENT-B,"Pop-up Tent 0' w x 15' h",10
Warehouse,ADBRN2-BIGG,"Napoleon Built In Grills Brochures",14
Warehouse,ADBRN2-CHAR,"Charcoal Brochure (2021)",0
Warehouse,ADBRN2-FREE,"Napoleon Freestyle Gas Grill",0
Warehouse,ADBRN2-PPRO,"Prestige & PRO Grills Brochure",0
Warehouse,ADBRN2-ROGG,"Rogue Series Brochure",0
Warehouse,ADBRN2-TRVQ,"Napoleon TravelQ - Blue Series - USA",0
Warehouse,ADSI-EWALL,"Electric Fireplace Demo Stand",15
Warehouse,ADSIN2-HWHB,"Napoleon Hardware Header Blue",6
Warehouse,ADSIN2-PEGB,"Napoleon Pegboard Backer Blue",1
Warehouse,BI-1816-2DR,"18"" X 16"" Double Drawer",3
Warehouse,BI-1823-ZCL,"Zero Clearance Liner for BIB12RT",5
Warehouse,BI-1824-1D,"18"" x 24"" Reversible Single Door",12
Warehouse,BI-1824-1W,"18"" X 24"" Double Drawer: Waste Bin",9
Warehouse,BI-1824-2DR,"18"" X 24"" Double Drawer: Large and Standard",77
Warehouse,BI-2418-BEV,"Multi-Functional Beverage Center",4
Warehouse,BI-2423-ZCL,"18"" Zero Clearance Liner",3
Warehouse,BI-3016-2D,"30"" x 16"" Double Door for BIG32RB",15
Warehouse,BI-3024-2D,"30"" X 24"" Double Door",10
Warehouse,BI-3323-ZCL,"Zero Clearance Liner for BIP500",11
Warehouse,BI-3616-1D2DR,"36"" x 16"" Single Door and Double Drawer Cabinet Cabinet for BIG38RB",5
Warehouse,BI-3616-2D,"36"" x 16"" Small Double Door SS (for BIG38RB)",6
Warehouse,BI-3623-ZCL,"32"" Zero Clearance Liner",43
Warehouse,BI-3624-1D2DR,"36"" X 24"" Single Door & Standard Drawer",0
Warehouse,BI-3624-2D,"36"" X 24"" Large Double Door",8
Warehouse,BI-4223-ZCL,"38"" Zero Clearance Liner",2
Warehouse,BI-4823-ZCL,"44"" Zero Clearance Liner",7
Warehouse,BI-TSK,"Slide-Out Propane Tank Kit",0
Warehouse,BI32NSS,"BUILT-IN 500 SERIES 32 NATURAL GAS GRILL, STAINLESS STEEL",5
Warehouse,BI32PSS,"BUILT-IN 500 SERIES 32 PROPANE GAS GRILL, STAINLESS STEEL",12
Warehouse,BIB10IRNSS,"10"" Single Infrared Drop-in Burner - NG",7
Warehouse,BIB10IRPSS,"10"" Single Infrared Drop-in Burner - LP",55
Warehouse,BIB10RTNSS,"10"" Single Range Drop-in Burner - NG",4
Warehouse,BIB10RTPSS,"10"" Single Range Drop-in Burner - LP",4
Warehouse,BIB12RTNSS,"BUILT-IN 700 SERIES INLINE DUAL RANGE TOP DROP-IN BURNER WITH STAINLESS STEEL COVER, NATURAL GAS, STAINLESS STEEL",3
Warehouse,BIB12RTPSS,"BUILT-IN 700 SERIES DUAL RANGE TOP BURNER WITH STAINLESS STEEL COVER, PROPANE, STAINLESS STEEL",0
Warehouse,BIB18IRNSS,"Built-in 18"" Dual Infrared Burner - NG",1
Warehouse,BIB18IRPSS,"Built-in 18"" Dual Infrared Burner - LP",5
Warehouse,BIB18PBNSS,"BUILT-IN 700 SERIES POWER BURNER WITH STAINLESS STEEL COVER, NATURAL GAS, STAINLESS STEEL",3
Warehouse,BIB18PBPSS,"BUILT-IN 700 SERIES POWER BURNER WITH STAINLESS STEEL COVER, PROPANE, STAINLESS STEEL",4
Warehouse,BIB18RTNSS,"Built-in 18"" Dual Range Top Burner - NG",7
Warehouse,BIB18RTPSS,"Built-in 18"" Dual Range Top Burner - LP",3
Warehouse,BIG32RBNSS-1,"Built-in 700 Series 32"" SS Infrared Burner - NG",3
Warehouse,BIG32RBPSS-1,"Built-in 700 Series 32"" SS Infrared Rear Burner - LP",0
Warehouse,BIG38RBNSS-1,"Built-in 700 Series 38"" SS Infrared Rear Burner - NG",1
Warehouse,BIG38RBPSS-1,"Built-in 700 Series 38"" SS Infrared Rear Burner - LP",13
Warehouse,BIG44RBNSS-1,"Built-in 700 Series 44"" SS Dual Infrared Burners - NG",4
Warehouse,BIG44RBPSS-1,"Built-in 700 Series 44"" SS with Dual Infrared Rear Burners - LP",2
Warehouse,"BINDER - TE DH (FL)","Twin Eagles/Delta Heat Dealer Binder",0
Warehouse,BIPRO500RBNSS-3,"Built-in Prestige PRO 500 Natural Gas Grill Head with Infrared Rear Burner, SS",5
Warehouse,BIPRO500RBPSS-3,"Built-in Prestige PRO 500 Propane Gas Grill Head with Infrared Rear Burner, SS",9
Warehouse,BIPRO665RBNSS-3,"Built-in Prestige PRO 665 Natural Gas Grill Head with Infrared Rear Burner, SS",3
Warehouse,BIPRO665RBPSS-3,"Built-in Prestige PRO 665 Propane Gas Grill Head with Infrared Rear Burner, SS",3
Warehouse,BIPRO825RBINSS-3,"Built-in Prestige PRO 825 Natural Gas Grill Head with Infrared Bottom and Rear Burner, Stainless Steel",4
Warehouse,BIPRO825RBIPSS-3,"Built-in Prestige PRO 825 Propane Gas Grill Head with Infrared Bottom and Rear Burner, Stainless Steel",3
Warehouse,"Breakfast Sauce (6 pack)","Breakfast Sauce (6 pack)",744
Warehouse,"BROCHURE - 19COASTAL","Challenger Brochure - Coastal Kitchens (700 per box)",0
Warehouse,"BROCHURE - 19GRILL","CHALLENGER BROCHURE-19GRILL - BGE (400 per box)",0
Warehouse,"Brochure-2023KIT_ Lookbook","7700 Series 2023 Challenger Designs Kitchen Lookbook/Brochure Qty 200 per box (shrink wrapped in Qty's of 50)",398
Warehouse,"Brochure-2024GAR_ Lookbook","7300 Series 2024 Challenger Designs Garage Lookbook/Brochure Qty 250 per box (shrink wrapped in Qty's of 50)",26
Warehouse,BrochureStand-CGC,"Grill Cart Brochure Stand",3
Warehouse,"BW Polish","Metal Polish - Works on Stainless, Aluminum, Chrome, Brass, Bronze, Copper, and Nickel (8 oz.)",67
Warehouse,"BW Preservative","Metal Preservative - Works on Stainless, Aluminum, Chrome, Silver, and Nickel (8 oz.)",64
Warehouse,C35F,"Dometic Freestanding wine cooler / 35 Bottle",27
Warehouse,C55F,"Dometic Freestanding wine cooler / 55 Bottle",30
Warehouse,C75F,"Dometic Freestanding wine cooler / 75 Bottle",16
Warehouse,Catalog-19,"2019 Catalog, Includes Pages for Each Series: Outdoor Kitchen, Garage ,Grill, Coastal, Canyon, Trailer, compiled in a binder",20
Warehouse,CKLP-DHBQ,"Delta Heat LP Conversion Kit, NG to LP",6
Warehouse,CKLP-DHPW22,"GAS CONVERSION KIT FROM NG TO LP, DHPW22",16
Warehouse,CKLP-DHSB,"Delta Heat Side Burner Conversion Kit, NG to LP",4
Warehouse,CKLP-DHTG32,"GAS CONVERSION KIT FROM NG TO LP, DHTG32",5
Warehouse,CKLP-TEBC,"LP Conversion Kit for TEBC, NG to LP, with LP Regulator",7
Warehouse,CKLP-TEBQ,"LP Conversion Kit for TEBQ, NG to LP, with LP Regulator",6
Warehouse,CKLP-TEGH,"LP Conversion Kit for TEGH, NG to LP",6
Warehouse,CKLP-TEPB24,"LP Conversion Kit for TEPB24, NG to LP, with LP Regulator",4
Warehouse,CKLP-TESB,"LP Conversion Kit for TESB, NG to LP, with LP Regulator",4
Warehouse,CKLP-TETG,"LP Conversion Kit for TETG30, NG to LP, with LP Regulator",4
Warehouse,CKNG-DHBQ,"Delta Heat NG Conversion Kit, LP to NG",10
Warehouse,CKNG-DHPW22,"GAS CONVERSION KIT FROM LP TO NG, DHPW22",16
Warehouse,CKNG-DHSB,"Delta Heat NG Conversion Kit for DHSB, LP to NG",6
Warehouse,CKNG-DHTG32,"GAS CONVERSION KIT FROM LP TO NG, DHTG32",11
Warehouse,CKNG-TEBC,"NG Conversion Kit for TEBC, LP to NG, with NG Regulator",7
Warehouse,CKNG-TEBQ,"NG Conversion Kit for TEBQ, LP to NG, with NG Regulator",4
Warehouse,CKNG-TEGH,"NG Conversion Kit for TEGH, LP to NG",3
Warehouse,CKNG-TEPB24,"NG Conversion Kit for TEPB24, LP to NG, with NG Regulator",2
Warehouse,CKNG-TESB,"NG Conversion Kit for TESB, LP to NG, with NG Regulator",2
Warehouse,CKNG-TETG,"NG Conversion Kit for TETG30, LP to NG, with NG Regulator",2
Warehouse,CSR-2024,"Challenger color sample ring",40
Warehouse,CSR-GAR-C,"Garage Classic Color Samples 2"" x 4""",26
Warehouse,CSR-GAR-E,"Garage Elite Color Samples, 2"" x 4""",18
Warehouse,"CUSTOM CHALLENGER",CHALLENGER,0
Warehouse,D154F,"Dometic Built-in wine cooler / 154 Bottle",16
Warehouse,D18B,"Dometic Built-in wine cooler / 18 Bottle",46
Warehouse,D46B,"Dometic Built-in wine cooler / 46 Bottle",37
Warehouse,DE15F,"Dometic 15"" Refrigerator",41
Warehouse,DE24F,"Dometic 24"" Refrigerator",3
Warehouse,DHAD16L-C,"16"" Delta Heat Single Access Door, Left",7
Warehouse,DHAD16R-C,"16"" Delta Heat Single Access Door, Right",3
Warehouse,DHAD18L-C,"18"" Delta Heat Single Access Door, Left",13
Warehouse,DHAD18R-C,"18"" Delta Heat Single Access Door, Right",21
Warehouse,DHAD24L-C,"24"" Delta Heat Single Access Door, Left",4
Warehouse,DHAD24R-C,"24"" Delta Heat Single Access Door, Right",5
Warehouse,DHAD26-C,"26"" Delta Heat Double Access Doors",6
Warehouse,DHAD30-C,"30"" Delta Heat Double Access Doors",5
Warehouse,DHAD32-C,"32"" Delta Heat Double Access Doors",23
Warehouse,DHAD36-C,"36"" Delta Heat Double Access Doors",6
Warehouse,DHAD38-C,"38"" Delta Heat Double Access Doors",11
Warehouse,DHBQ26G-DL,"26"" Delta Heat Gas Grill-DL",2
Warehouse,DHBQ26G-DN,"26"" Delta Heat Gas Grill-DN",7
Warehouse,DHBQ32G-DL,"32"" Delta Heat Gas Grill-DL",11
Warehouse,DHBQ32G-DN,"32"" Delta Heat Gas Grill-DN",15
Warehouse,DHBQ32R-DL,"32"" Delta Heat Gas Grill with Infrared Rotisserie-DL",5
Warehouse,DHBQ32R-DN,"32"" Delta Heat Gas Grill with Infrared Rotisserie-DN",9
Warehouse,DHBQ32R-KL,"32"" Delta Heat Gas Grill with Rotisserie, Black Control Panel (LP)",1
Warehouse,DHBQ32R-KN,"32"" Delta Heat Gas Grill with Rotisserie, Black Control Panel (NG)",0
Warehouse,DHBQ32R-WL,"32"" Delta Heat Gas Grill with Rotisserie, White Control Panel (LP)",1
Warehouse,DHBQ32R-WN,"32"" Delta Heat Gas Grill with Rotisserie, White Control Panel (NG)",1
Warehouse,DHBQ32RS-DL,"32"" Delta Heat Gas Grill with Infrared Rotisserie and Sear Zone-DL",15
Warehouse,DHBQ32RS-DN,"32"" Delta Heat Gas Grill with Infrared Rotisserie and Sear Zone-DN",8
Warehouse,DHBQ32RS-KL,"32"" Delta Heat Gas Grill with Rotisserie, Sear Zone, Black Control Panel (LP)",0
Warehouse,DHBQ32RS-KN,"32"" Delta Heat Gas Grill with Rotisserie, Sear Zone, Black Control Panel (NG)",1
